CODE	T_HW
2614000000 	0
2620000000 	0
2623000000 	0
2626000000 	0
2629000000 	0
2632000000 	1
2635000000 	1
2638000000 	0
2641000000 	1
2644000000 	1
2647000000 	0
2650000000 	0
2653000000 	1
2671000000 	1
2714000000 	1
2717000000 	1
2720000000 	0
2723000000 	1
2726000000 	1
2729000000 	1
2771000000 	1
2911000000 	0
2914000000 	0
2915500000 	0
2917000000 	1
2920000000 	1
3011000000 	1
3014000000 	1
3017000000 	1
3020000000 	1
3023000000 	1
3111000000 	1
3114000000 	1
3117000000 	0
3120000000 	1
3171000000 	1
3600000000 	1
4211000000 	1
4213000000 	1
4215000000 	1
4311000000 	1
4313000000 	1
4315000000 	1
4413000000 	1
4415000000 	1
4420000000 	0
4421000000 	1
4423000000 	1
4427000000 	1
4511000000 	1
4513000000 	1
4514000000 	1
4518000000 	1
4611000000 	0
4613000000 	0
4615000000 	1
4617000000 	1
4623000000 	1
4711000000 	1
4713000000 	1
4715000000 	1
4717000000 	1
4719000000 	1
4721000000 	1
4723000000 	1
4729000000 	1
4785000000 	1
4817000000 	1
4822000000 	1
4824000000 	1
4825000000 	1
4827000000 	1
4831000000 	0
4833000000 	1
5011000000 	0
5013000000 	0
